2023-09-22 19:30:00,816 Starting training...
2023-09-22 19:30:04,480 Epoch: 0, Batch: 0, Loss: [0.8395705819129944, 0.28125]
2023-09-22 19:30:07,457 Epoch: 0, Batch: 1, Loss: [47.46101379394531, 0.75]
2023-09-22 19:30:10,396 Epoch: 0, Batch: 2, Loss: [1.3186352252960205, 0.78125]
2023-09-22 19:30:13,337 Epoch: 0, Batch: 3, Loss: [27.128643035888672, 0.28125]
2023-09-22 19:30:16,303 Epoch: 0, Batch: 4, Loss: [11.282312393188477, 0.28125]
2023-09-22 19:30:19,334 Epoch: 0, Batch: 5, Loss: [0.39826470613479614, 0.9375]
2023-09-22 19:30:22,292 Epoch: 0, Batch: 6, Loss: [0.7876385450363159, 0.75]
2023-09-22 19:30:25,240 Epoch: 0, Batch: 7, Loss: [0.026674330234527588, 0.96875]
2023-09-22 19:30:28,301 Epoch: 0, Batch: 8, Loss: [0.0013222978450357914, 1.0]
2023-09-22 19:30:31,233 Epoch: 0, Batch: 9, Loss: [0.04104191064834595, 0.96875]
2023-09-22 19:30:34,158 Epoch: 0, Batch: 10, Loss: [0.08571897447109222, 0.9375]
2023-09-22 19:30:37,062 Epoch: 0, Batch: 11, Loss: [0.0001681538560660556, 1.0]
2023-09-22 19:30:39,959 Epoch: 0, Batch: 12, Loss: [4.0915110730566084e-06, 1.0]
2023-09-22 19:30:42,848 Epoch: 0, Batch: 13, Loss: [0.20413753390312195, 0.96875]
2023-09-22 19:30:45,842 Epoch: 0, Batch: 14, Loss: [0.0005414896877482533, 1.0]
2023-09-22 19:30:48,836 Epoch: 0, Batch: 15, Loss: [7.369352061914469e-08, 1.0]
2023-09-22 19:30:51,793 Epoch: 0, Batch: 16, Loss: [2.3578232344334538e-07, 1.0]
2023-09-22 19:30:59,223 Epoch: 1, Batch: 0, Loss: [0.03708991780877113, 0.96875]
2023-09-22 19:31:02,057 Epoch: 1, Batch: 1, Loss: [0.00024523003958165646, 1.0]
2023-09-22 19:31:04,883 Epoch: 1, Batch: 2, Loss: [3.0938895179133397e-06, 1.0]
2023-09-22 19:31:07,800 Epoch: 1, Batch: 3, Loss: [1.0741246114776004e-08, 1.0]
2023-09-22 19:31:10,711 Epoch: 1, Batch: 4, Loss: [1.6666058400005568e-07, 1.0]
2023-09-22 19:31:13,703 Epoch: 1, Batch: 5, Loss: [0.7765231728553772, 0.96875]
2023-09-22 19:31:16,583 Epoch: 1, Batch: 6, Loss: [2.29760512837629e-08, 1.0]
2023-09-22 19:31:19,368 Epoch: 1, Batch: 7, Loss: [1.5473532357646036e-06, 1.0]
2023-09-22 19:31:22,257 Epoch: 1, Batch: 8, Loss: [1.0892879345192341e-06, 1.0]
2023-09-22 19:31:25,130 Epoch: 1, Batch: 9, Loss: [0.0026633325032889843, 1.0]
2023-09-22 19:31:27,992 Epoch: 1, Batch: 10, Loss: [0.0554007887840271, 0.96875]
2023-09-22 19:31:30,842 Epoch: 1, Batch: 11, Loss: [0.19988013803958893, 0.96875]
2023-09-22 19:31:33,676 Epoch: 1, Batch: 12, Loss: [4.2081563151441514e-05, 1.0]
2023-09-22 19:31:36,444 Epoch: 1, Batch: 13, Loss: [7.873619090048578e-09, 1.0]
2023-09-22 19:31:39,370 Epoch: 1, Batch: 14, Loss: [0.011008978821337223, 1.0]
2023-09-22 19:31:42,199 Epoch: 1, Batch: 15, Loss: [0.08820755034685135, 0.96875]
2023-09-22 19:31:45,068 Epoch: 1, Batch: 16, Loss: [6.573463906534016e-06, 1.0]
2023-09-22 19:31:50,457 Epoch: 2, Batch: 0, Loss: [9.536677225696621e-08, 1.0]
2023-09-22 19:31:53,272 Epoch: 2, Batch: 1, Loss: [2.1439347519525143e-10, 1.0]
2023-09-22 19:31:56,103 Epoch: 2, Batch: 2, Loss: [9.28353305340579e-09, 1.0]
2023-09-22 19:31:58,980 Epoch: 2, Batch: 3, Loss: [4.858005274097077e-13, 1.0]
2023-09-22 19:32:01,862 Epoch: 2, Batch: 4, Loss: [8.681436819424349e-11, 1.0]
